species_code,scientific_name,common_name,functional_group,climate_zone,topographic_position,elevation_niche,moisture_regime,soil_substrate,shade_tolerance,successional_stage,formatted_description
HB,Carya cordiformis,Bitternut Hickory,Deciduous broadleaf hardwood tree,Southern and central Ontario climates,"Rich moist bottomlands, river banks, fertile slopes",Lowland flats to lower slopes,Mesic to wet-mesic,Rich moist silts and well-drained loams,Intolerant,Mid-to-late successional species,"Species: Carya cordiformis (Bitternut Hickory). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Southern and central Ontario climates. Topography & Elevation: Found in Rich moist bottomlands, river banks, fertile slopes; Lowland flats to lower slopes. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Rich moist silts and well-drained loams. Ecological Traits: Intolerant shade tolerance; Mid-to-late successional species."
HS,Carya ovata,Shagbark Hickory,Deciduous broadleaf hardwood tree,Southern Ontario and Carolinian climates,"Well-drained upland slopes, rich hardwood stands",Upland mid-slopes and crests,Dry-mesic to mesic,"Deep, rich, well-drained loams and heavy clays",Intolerant,Mid-to-late successional species,"Species: Carya ovata (Shagbark Hickory). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Southern Ontario and Carolinian climates. Topography & Elevation: Found in Well-drained upland slopes, rich hardwood stands; Upland mid-slopes and crests. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Deep, rich, well-drained loams and heavy clays. Ecological Traits: Intolerant shade tolerance; Mid-to-late successional species."
HC,Carya laciniosa,Shellbark Hickory,Deciduous broadleaf hardwood tree,Carolinian warm temperate climates,"Moist river floodplains, clay flatwoods, swamps",Lowland alluvial floodplains,Wet-mesic to hydric,"Deep, rich, heavy alluvial clay and silt loams",Intolerant to intermediate,Late-successional floodplain species,"Species: Carya laciniosa (Shellbark Hickory). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Moist river floodplains, clay flatwoods, swamps; Lowland alluvial floodplains. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Deep, rich, heavy alluvial clay and silt loams. Ecological Traits: Intolerant to intermediate shade tolerance; Late-successional floodplain species."
HG,Carya glabra,Pignut Hickory,Deciduous broadleaf hardwood tree,Carolinian warm temperate climates,"Dry upland ridges, well-drained hardwood slopes",Upland ridges,Dry-mesic to xeric,Well-drained dry loams and gravelly acidic soils,Intolerant to intermediate,Mid-to-late successional species,"Species: Carya glabra (Pignut Hickory). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Dry upland ridges, well-drained hardwood slopes; Upland ridges. Soil & Hydrology: Prefers Dry-mesic to xeric moisture regimes and Well-drained dry loams and gravelly acidic soils. Ecological Traits: Intolerant to intermediate shade tolerance; Mid-to-late successional species."
WB,Juglans nigra,Black Walnut,Deciduous broadleaf hardwood tree,Carolinian and southern Ontario climates,"Rich alluvial bottomlands, fertile lower slopes",Lowland alluvial flats,Mesic,"Deep, rich, moist, well-drained fertile loams",Intolerant,Early-to-mid successional species,"Species: Juglans nigra (Black Walnut). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Carolinian and southern Ontario climates. Topography & Elevation: Found in Rich alluvial bottomlands, fertile lower slopes; Lowland alluvial flats. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, rich, moist, well-drained fertile loams. Ecological Traits: Intolerant shade tolerance; Early-to-mid successional species."
BU,Juglans cinerea,Butternut,Deciduous broadleaf hardwood tree,Southern and eastern Ontario climates,"River floodplains, rocky ravines, moist slopes",Lowland terraces and lower slopes,Mesic,"Rich, moist, well-drained loams and limestone soils",Intolerant,Early-to-mid successional species,"Species: Juglans cinerea (Butternut). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Southern and eastern Ontario climates. Topography & Elevation: Found in River floodplains, rocky ravines, moist slopes; Lowland terraces and lower slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Rich, moist, well-drained loams and limestone soils. Ecological Traits: Intolerant shade tolerance; Early-to-mid successional species."
CB,Prunus serotina,Black Cherry,Deciduous broadleaf hardwood tree,Great Lakes-St. Lawrence and Carolinian climates,"Hardwood fence rows, rich forest gaps, upland slopes",Upland plateaus and mid-slopes,Dry-mesic to mesic,"Deep, fertile, well-drained moist loams",Intolerant,Early-to-mid successional species,"Species: Prunus serotina (Black Cherry). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Great Lakes-St. Lawrence and Carolinian climates. Topography & Elevation: Found in Hardwood fence rows, rich forest gaps, upland slopes; Upland plateaus and mid-slopes. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Deep, fertile, well-drained moist loams. Ecological Traits: Intolerant shade tolerance; Early-to-mid successional species."
CP,Prunus pensylvanica,Pin Cherry,Deciduous broadleaf small tree,Boreal to temperate climates,"Burned lands, logged clearings, forest gaps",Lowland to upland clearings,Dry-mesic to mesic,Coarse sandy or rocky acidic loams,Very intolerant,Pioneer species after disturbance,"Species: Prunus pensylvanica (Pin Cherry). Taxonomy & Functional Type: Deciduous broadleaf small tree. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Burned lands, logged clearings, forest gaps; Lowland to upland clearings. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Coarse sandy or rocky acidic loams. Ecological Traits: Very intolerant shade tolerance; Pioneer species after disturbance."
CV,Prunus virginiana,Chokecherry,Deciduous small tree / shrub,Boreal to Carolinian climates,"Forest edges, fencerows, thickets, rocky slopes",Adaptable clearings and borders,Dry-mesic to mesic,"Adaptable sandy, loamy, and rocky soils",Intermediate,Pioneer shrub,"Species: Prunus virginiana (Chokecherry). Taxonomy & Functional Type: Deciduous small tree / shrub. Climate Niche: Thrives in Boreal to Carolinian climates. Topography & Elevation: Found in Forest edges, fencerows, thickets, rocky slopes; Adaptable clearings and borders. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Adaptable sandy, loamy, and rocky soils. Ecological Traits: Intermediate shade tolerance; Pioneer shrub."
CD,Prunus padus,European Bird Cherry,Deciduous tree / shrub,Cool temperate introduced climates,"Urban parks, ravines, moist stream thickets",Lowland moist woods,Mesic to wet-mesic,"Moist, rich, well-drained loams",Intermediate to tolerant,Introduced naturalized shrub,"Species: Prunus padus (European Bird Cherry). Taxonomy & Functional Type: Deciduous tree / shrub. Climate Niche: Thrives in Cool temperate introduced climates. Topography & Elevation: Found in Urban parks, ravines, moist stream thickets; Lowland moist woods. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Moist, rich, well-drained loams. Ecological Traits: Intermediate to tolerant shade tolerance; Introduced naturalized shrub."
CH,Prunus avium,Sweet Cherry / Mazzard,Deciduous broadleaf tree,Warm temperate introduced climates,"Abandoned orchards, forest gaps, hedgerows",Lowland to upland slopes,Mesic,"Deep, well-drained fertile loams",Intermediate,Introduced escape species,"Species: Prunus avium (Sweet Cherry / Mazzard). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Warm temperate introduced climates. Topography & Elevation: Found in Abandoned orchards, forest gaps, hedgerows; Lowland to upland slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, well-drained fertile loams. Ecological Traits: Intermediate shade tolerance; Introduced escape species."
SA,Salix nigra,Black Willow,Deciduous broadleaf tree,Temperate to Carolinian climates,"River sandbars, muddy banks, wetland edges",Lowland stream corridors,Hydric to wet-mesic,"Wet alluvial mud, silt, sand",Very intolerant,Pioneer wetland species,"Species: Salix nigra (Black Willow). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Temperate to Carolinian climates. Topography & Elevation: Found in River sandbars, muddy banks, wetland edges; Lowland stream corridors. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Wet alluvial mud, silt, sand. Ecological Traits: Very intolerant shade tolerance; Pioneer wetland species."
SBW,Salix alba,White Willow,Deciduous tree,Temperate introduced climates,"Pond edges, stream banks, wet lowlands",Lowland riparian basins,Hydric to wet-mesic,Wet alluvial silt and clay,Very intolerant,Introduced riparian pioneer,"Species: Salix alba (White Willow). Taxonomy & Functional Type: Deciduous tree. Climate Niche: Thrives in Temperate introduced climates. Topography & Elevation: Found in Pond edges, stream banks, wet lowlands; Lowland riparian basins. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Wet alluvial silt and clay. Ecological Traits: Very intolerant shade tolerance; Introduced riparian pioneer."
SF,Salix amygdaloides,Peachleaf Willow,Deciduous tree,Temperate to prairie transition climates,"Prairie stream banks, lake shores",Lowland alluvial plains,Hydric to wet-mesic,Wet alluvial sands and silts,Very intolerant,Pioneer riparian tree,"Species: Salix amygdaloides (Peachleaf Willow). Taxonomy & Functional Type: Deciduous tree. Climate Niche: Thrives in Temperate to prairie transition climates. Topography & Elevation: Found in Prairie stream banks, lake shores; Lowland alluvial plains. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Wet alluvial sands and silts. Ecological Traits: Very intolerant shade tolerance; Pioneer riparian tree."
SH,Salix interior,Sandbar Willow,Deciduous shrub,Boreal to temperate climates,"Active sandbars, gravel bars, stream banks",Lowland active river channels,Hydric,Coarse wet alluvial sand and gravel,Very intolerant,Active sandbar pioneer shrub,"Species: Salix interior (Sandbar Willow). Taxonomy & Functional Type: Deciduous shrub. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Active sandbars, gravel bars, stream banks; Lowland active river channels. Soil & Hydrology: Prefers Hydric moisture regimes and Coarse wet alluvial sand and gravel. Ecological Traits: Very intolerant shade tolerance; Active sandbar pioneer shrub."
SK,Salix bebbiana,Bebb's Willow,Deciduous small tree / shrub,Boreal to temperate climates,"Moist thickets, stream margins, fen edges",Lowland to upland damp thickets,Wet-mesic to hydric,"Moist loams, wet organic muck",Intolerant,Wetland thicket pioneer,"Species: Salix bebbiana (Bebb's Willow). Taxonomy & Functional Type: Deciduous small tree / shrub. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Moist thickets, stream margins, fen edges; Lowland to upland damp thickets. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Moist loams, wet organic muck. Ecological Traits: Intolerant shade tolerance; Wetland thicket pioneer."
SL,Salix lucida,Shining Willow,Deciduous shrub / small tree,Boreal to temperate climates,"River margins, lake shores, fens",Lowland wet margins,Hydric,"Wet sand, peat, alluvial mud",Intolerant,Pioneer riparian shrub,"Species: Salix lucida (Shining Willow). Taxonomy & Functional Type: Deciduous shrub / small tree. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in River margins, lake shores, fens; Lowland wet margins. Soil & Hydrology: Prefers Hydric moisture regimes and Wet sand, peat, alluvial mud. Ecological Traits: Intolerant shade tolerance; Pioneer riparian shrub."
SM,Salix spp.,Willow (Unspecified),Deciduous tree / shrub,Boreal to temperate climates,"Wetlands, stream banks, lowlands",Lowland wet corridors,Hydric to wet-mesic,"Wet alluvial mud, sand, peat",Intolerant,Pioneer species,"Species: Salix spp. (Willow (Unspecified)). Taxonomy & Functional Type: Deciduous tree / shrub. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Wetlands, stream banks, lowlands; Lowland wet corridors. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Wet alluvial mud, sand, peat. Ecological Traits: Intolerant shade tolerance; Pioneer species."
SNW,Salix discolor,Pussy Willow,Deciduous shrub / small tree,Boreal to temperate climates,"Swamp edges, damp thickets, roadside ditches",Lowland damp depressions,Wet-mesic to hydric,"Wet organic muck, clay loams",Intolerant,Pioneer wetland shrub,"Species: Salix discolor (Pussy Willow). Taxonomy & Functional Type: Deciduous shrub / small tree. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Swamp edges, damp thickets, roadside ditches; Lowland damp depressions. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Wet organic muck, clay loams. Ecological Traits: Intolerant shade tolerance; Pioneer wetland shrub."
SO,Salix fragilis,Crack Willow,Deciduous tree,Temperate introduced climates,"Riverbanks, floodplains, pond margins",Lowland riparian banks,Hydric to wet-mesic,Wet alluvial silt and clay,Very intolerant,Introduced riparian tree,"Species: Salix fragilis (Crack Willow). Taxonomy & Functional Type: Deciduous tree. Climate Niche: Thrives in Temperate introduced climates. Topography & Elevation: Found in Riverbanks, floodplains, pond margins; Lowland riparian banks. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Wet alluvial silt and clay. Ecological Traits: Very intolerant shade tolerance; Introduced riparian tree."
AL,Alnus incana ssp. rugosa,Speckled Alder,Deciduous shrub / small tree,Boreal to cool temperate climates,"Stream banks, swamp margins, alder thickets",Lowland wetland margins,Hydric to wet-mesic,"Wet organic peat, cold muck, alluvial silt",Intolerant,Nitrogen-fixing pioneer shrub,"Species: Alnus incana ssp. rugosa (Speckled Alder). Taxonomy & Functional Type: Deciduous shrub / small tree. Climate Niche: Thrives in Boreal to cool temperate climates. Topography & Elevation: Found in Stream banks, swamp margins, alder thickets; Lowland wetland margins. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Wet organic peat, cold muck, alluvial silt. Ecological Traits: Intolerant shade tolerance; Nitrogen-fixing pioneer shrub."
AGL,Alnus glutinosa,European Black Alder,Deciduous broadleaf tree,Temperate introduced climates,"Riverbanks, flooded bottomlands",Lowland floodplains,Hydric to wet-mesic,Wet rich alluvial loams and peat,Intolerant,Introduced riparian pioneer tree,"Species: Alnus glutinosa (European Black Alder). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Temperate introduced climates. Topography & Elevation: Found in Riverbanks, flooded bottomlands; Lowland floodplains. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Wet rich alluvial loams and peat. Ecological Traits: Intolerant shade tolerance; Introduced riparian pioneer tree."
AR,Alnus rubra,Red Alder,Deciduous broadleaf tree,Cool wet maritime climates,"Moist stream floodplains, logged slopes",Lowland to mid-elevation valleys,Mesic to wet-mesic,"Deep, moist, well-drained loams",Very intolerant,Nitrogen-fixing pioneer tree,"Species: Alnus rubra (Red Alder). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Cool wet maritime climates. Topography & Elevation: Found in Moist stream floodplains, logged slopes; Lowland to mid-elevation valleys. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Deep, moist, well-drained loams. Ecological Traits: Very intolerant shade tolerance; Nitrogen-fixing pioneer tree."
AV,Alnus viridis ssp. crispa,Mountain Alder,Deciduous shrub,Subarctic and boreal alpine climates,"Rocky mountain slopes, stream banks",Subalpine rocky slopes,Mesic to wet-mesic,"Coarse rocky gravels, acidic shallow soils",Intolerant,Pioneer alpine shrub,"Species: Alnus viridis ssp. crispa (Mountain Alder). Taxonomy & Functional Type: Deciduous shrub. Climate Niche: Thrives in Subarctic and boreal alpine climates. Topography & Elevation: Found in Rocky mountain slopes, stream banks; Subalpine rocky slopes. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Coarse rocky gravels, acidic shallow soils. Ecological Traits: Intolerant shade tolerance; Pioneer alpine shrub."
BE,Fagus grandifolia,American Beech,Deciduous broadleaf hardwood tree,Great Lakes-St. Lawrence and Carolinian climates,"Rich upland hardwood forests, beech-maple ridges",Mid-elevation rolling slopes,Mesic,"Deep, rich, well-drained fertile loams",Very tolerant,Late-successional climax species,"Species: Fagus grandifolia (American Beech). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Great Lakes-St. Lawrence and Carolinian climates. Topography & Elevation: Found in Rich upland hardwood forests, beech-maple ridges; Mid-elevation rolling slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, rich, well-drained fertile loams. Ecological Traits: Very tolerant shade tolerance; Late-successional climax species."
BI,Fagus sylvatica,European Beech,Deciduous broadleaf tree,Temperate introduced climates,"Urban parks, estate plantings",Lowland to upland parks,Mesic,Deep fertile moist loams,Very tolerant,Introduced climax tree,"Species: Fagus sylvatica (European Beech). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Temperate introduced climates. Topography & Elevation: Found in Urban parks, estate plantings; Lowland to upland parks. Soil & Hydrology: Prefers Mesic moisture regimes and Deep fertile moist loams. Ecological Traits: Very tolerant shade tolerance; Introduced climax tree."
CA,Castanea dentata,American Chestnut,Deciduous broadleaf tree,Carolinian warm temperate climates,"Dry sandy upland ridges, acidic hardwood stands",Upland sandy ridges,Dry-mesic to mesic,"Deep, well-drained, acidic sandy loams",Intermediate,Historical climax canopy species,"Species: Castanea dentata (American Chestnut). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Dry sandy upland ridges, acidic hardwood stands; Upland sandy ridges. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Deep, well-drained, acidic sandy loams. Ecological Traits: Intermediate shade tolerance; Historical climax canopy species."
BA,Tilia americana,Basswood,Deciduous broadleaf hardwood tree,Great Lakes-St. Lawrence and Carolinian climates,"Rich hardwood forests, fertile slopes, river valleys",Lower-to-mid upland slopes,Mesic,"Deep, rich, moist, calcareous silt loams",Intermediate to tolerant,Late-successional species,"Species: Tilia americana (Basswood). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Great Lakes-St. Lawrence and Carolinian climates. Topography & Elevation: Found in Rich hardwood forests, fertile slopes, river valleys; Lower-to-mid upland slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, rich, moist, calcareous silt loams. Ecological Traits: Intermediate to tolerant shade tolerance; Late-successional species."
BD,Tilia cordata,Littleleaf Linden,Deciduous tree,Temperate introduced climates,"Urban streetscapes, parks",Lowland urban sites,Mesic,"Moist, rich, well-drained loams",Tolerant,Introduced ornamental tree,"Species: Tilia cordata (Littleleaf Linden). Taxonomy & Functional Type: Deciduous tree. Climate Niche: Thrives in Temperate introduced climates. Topography & Elevation: Found in Urban streetscapes, parks; Lowland urban sites. Soil & Hydrology: Prefers Mesic moisture regimes and Moist, rich, well-drained loams. Ecological Traits: Tolerant shade tolerance; Introduced ornamental tree."
IW,Ostrya virginiana,Ironwood / Hop-hornbeam,Deciduous understory hardwood tree,Great Lakes-St. Lawrence and Carolinian climates,"Understory of rich hardwood forests, dry slopes",Mid-to-upper upland slopes,Dry-mesic to mesic,"Well-drained loams, shallow dry limestone soils",Very tolerant,Understory climax species,"Species: Ostrya virginiana (Ironwood / Hop-hornbeam). Taxonomy & Functional Type: Deciduous understory hardwood tree. Climate Niche: Thrives in Great Lakes-St. Lawrence and Carolinian climates. Topography & Elevation: Found in Understory of rich hardwood forests, dry slopes; Mid-to-upper upland slopes. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Well-drained loams, shallow dry limestone soils. Ecological Traits: Very tolerant shade tolerance; Understory climax species."
BLUE,Carpinus caroliniana,Blue Beech / Musclewood,Deciduous understory hardwood tree,Southern and Carolinian Ontario climates,"Understory of moist hardwood forests, stream margins",Lowland stream margins and lower slopes,Mesic to wet-mesic,"Deep, rich, moist, fertile loams",Very tolerant,Understory climax species,"Species: Carpinus caroliniana (Blue Beech / Musclewood). Taxonomy & Functional Type: Deciduous understory hardwood tree. Climate Niche: Thrives in Southern and Carolinian Ontario climates. Topography & Elevation: Found in Understory of moist hardwood forests, stream margins; Lowland stream margins and lower slopes. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Deep, rich, moist, fertile loams. Ecological Traits: Very tolerant shade tolerance; Understory climax species."
SY,Platanus occidentalis,American Sycamore,Deciduous broadleaf hardwood tree,Carolinian warm temperate climates,"River floodplains, sandbars, alluvial riverbanks",Lowland active floodplains,Wet-mesic to hydric,"Rich moist alluvial silt, gravel, and sand",Intolerant,Pioneer riparian species,"Species: Platanus occidentalis (American Sycamore). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in River floodplains, sandbars, alluvial riverbanks; Lowland active floodplains. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Rich moist alluvial silt, gravel, and sand. Ecological Traits: Intolerant shade tolerance; Pioneer riparian species."
TU,Liriodendron tulipifera,Tulip Tree,Deciduous broadleaf hardwood tree,Carolinian warm temperate climates,"Rich sheltered coves, lower slopes, fertile bottomlands",Lowland coves and gentle slopes,Mesic,"Deep, rich, moist, well-drained organic loams",Intolerant,Early-to-mid successional species,"Species: Liriodendron tulipifera (Tulip Tree). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Rich sheltered coves, lower slopes, fertile bottomlands; Lowland coves and gentle slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, rich, moist, well-drained organic loams. Ecological Traits: Intolerant shade tolerance; Early-to-mid successional species."
HK,Celtis occidentalis,Hackberry,Deciduous broadleaf hardwood tree,Southern and eastern Ontario climates,"Floodplains, limestone ridges, sand dunes",Lowland floodplains to dry limestone crests,Dry-mesic to wet-mesic,Rich moist alluvial soils to dry rocky limestone,Intermediate,Early-to-mid successional species,"Species: Celtis occidentalis (Hackberry). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Southern and eastern Ontario climates. Topography & Elevation: Found in Floodplains, limestone ridges, sand dunes; Lowland floodplains to dry limestone crests. Soil & Hydrology: Prefers Dry-mesic to wet-mesic moisture regimes and Rich moist alluvial soils to dry rocky limestone. Ecological Traits: Intermediate shade tolerance; Early-to-mid successional species."
SAS,Sassafras albidum,Sassafras,Deciduous broadleaf tree,Carolinian warm temperate climates,"Old fields, dry forest margins, sandy ridges",Upland sandy ridges and fields,Dry-mesic to xeric,"Well-drained, sandy, acidic loams",Intolerant,Pioneer species on dry sands,"Species: Sassafras albidum (Sassafras). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Old fields, dry forest margins, sandy ridges; Upland sandy ridges and fields. Soil & Hydrology: Prefers Dry-mesic to xeric moisture regimes and Well-drained, sandy, acidic loams. Ecological Traits: Intolerant shade tolerance; Pioneer species on dry sands."
GYM,Gymnocladus dioicus,Kentucky Coffeetree,Deciduous broadleaf tree,Carolinian rare warm temperate climates,"Floodplain edges, rich limestone ravines",Lowland fertile terraces,Mesic to wet-mesic,"Deep, rich, moist limestone and alluvial loams",Intolerant,Rare early-to-mid successional tree,"Species: Gymnocladus dioicus (Kentucky Coffeetree). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Carolinian rare warm temperate climates. Topography & Elevation: Found in Floodplain edges, rich limestone ravines; Lowland fertile terraces. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Deep, rich, moist limestone and alluvial loams. Ecological Traits: Intolerant shade tolerance; Rare early-to-mid successional tree."
GLED,Gleditsia triacanthos,Honey Locust,Deciduous broadleaf tree,Carolinian to southern Ontario climates,"River bottomlands, urban fields, lake shorelines",Lowland floodplains,Mesic to dry-mesic,"Adaptable, rich, moist or dry alkaline soils",Very intolerant,Pioneer to early successional species,"Species: Gleditsia triacanthos (Honey Locust). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Carolinian to southern Ontario climates. Topography & Elevation: Found in River bottomlands, urban fields, lake shorelines; Lowland floodplains. Soil & Hydrology: Prefers Mesic to dry-mesic moisture regimes and Adaptable, rich, moist or dry alkaline soils. Ecological Traits: Very intolerant shade tolerance; Pioneer to early successional species."
MAG,Magnolia acuminata,Cucumber Tree,Deciduous broadleaf tree,Carolinian warm humid climates,"Rich sheltered hardwood coves, fertile ravines",Moist sheltered ravines,Mesic,"Deep, rich, moist, well-drained acidic loams",Intermediate,Rare climax forest species,"Species: Magnolia acuminata (Cucumber Tree). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Carolinian warm humid climates. Topography & Elevation: Found in Rich sheltered hardwood coves, fertile ravines; Moist sheltered ravines. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, rich, moist, well-drained acidic loams. Ecological Traits: Intermediate shade tolerance; Rare climax forest species."
PT,Ptelea trifoliata,Common Hoptree,Deciduous small tree / shrub,Carolinian shoreline climates,"Lake Erie sand dunes, beach crests, limestone openings",Coastal dune crests,Xeric to dry-mesic,"Dry sandy dunes, shallow rocky limestone",Intolerant,Coastal dune pioneer shrub,"Species: Ptelea trifoliata (Common Hoptree). Taxonomy & Functional Type: Deciduous small tree / shrub. Climate Niche: Thrives in Carolinian shoreline climates. Topography & Elevation: Found in Lake Erie sand dunes, beach crests, limestone openings; Coastal dune crests. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Dry sandy dunes, shallow rocky limestone. Ecological Traits: Intolerant shade tolerance; Coastal dune pioneer shrub."
NYS,Nyssa sylvatica,Blackgum / Tupelo,Deciduous broadleaf tree,Carolinian warm temperate climates,"Wooded swamps, wet clay flats, ravines",Lowland swamp basins,Hydric to wet-mesic,"Poorly drained wet acidic clay and muck",Tolerant,Late-successional wet forest species,"Species: Nyssa sylvatica (Blackgum / Tupelo). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Wooded swamps, wet clay flats, ravines; Lowland swamp basins. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Poorly drained wet acidic clay and muck. Ecological Traits: Tolerant shade tolerance; Late-successional wet forest species."
HAM,Hamamelis virginiana,Witch-hazel,Deciduous small tree / shrub,Temperate to Carolinian climates,"Rich hardwood forest understory, moist ravines",Moist forest understory,Mesic,"Deep, moist, acidic organic loams",Tolerant,Understory shrub,"Species: Hamamelis virginiana (Witch-hazel). Taxonomy & Functional Type: Deciduous small tree / shrub. Climate Niche: Thrives in Temperate to Carolinian climates. Topography & Elevation: Found in Rich hardwood forest understory, moist ravines; Moist forest understory. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, moist, acidic organic loams. Ecological Traits: Tolerant shade tolerance; Understory shrub."
RHO,Rhus typhina,Staghorn Sumac,Deciduous small tree / shrub,Temperate climates,"Roadsides, dry bank cuts, abandoned fields",Upland disturbed banks,Xeric to dry-mesic,"Poor dry gravels, sands, rocky soils",Very intolerant,Pioneer clonal shrub,"Species: Rhus typhina (Staghorn Sumac). Taxonomy & Functional Type: Deciduous small tree / shrub. Climate Niche: Thrives in Temperate climates. Topography & Elevation: Found in Roadsides, dry bank cuts, abandoned fields; Upland disturbed banks. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Poor dry gravels, sands, rocky soils. Ecological Traits: Very intolerant shade tolerance; Pioneer clonal shrub."
ROB,Robinia pseudoacacia,Black Locust,Deciduous broadleaf tree,Temperate introduced climates,"Disturbed roadsides, sand plains, old quarries",Lowland to upland disturbed sites,Dry-mesic to xeric,Coarse dry sandy and gravelly soils,Very intolerant,Invasive nitrogen-fixing pioneer tree,"Species: Robinia pseudoacacia (Black Locust). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Temperate introduced climates. Topography & Elevation: Found in Disturbed roadsides, sand plains, old quarries; Lowland to upland disturbed sites. Soil & Hydrology: Prefers Dry-mesic to xeric moisture regimes and Coarse dry sandy and gravelly soils. Ecological Traits: Very intolerant shade tolerance; Invasive nitrogen-fixing pioneer tree."
